pair_id,task_name,schema_id,candidate_mode,outer_loop_candidate_id,pair_reason,next_pair_plan_mode,source_round_id,next_round_id
azure-bgp-oscillation-route-leak__environment-control,azure-bgp-oscillation-route-leak,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__methodology-guardrail,azure-bgp-oscillation-route-leak,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__orchestration-delegation,azure-bgp-oscillation-route-leak,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__artifact-generation,citation-check,artifact-generation,differentiating,artifact-generation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__analytic-pipeline,citation-check,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__engineering-composition,citation-check,engineering-composition,differentiating,engineering-composition::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__retrieval-heavy-synthesis,citation-check,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__environment-control,citation-check,environment-control,differentiating,environment-control::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__methodology-guardrail,citation-check,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
citation-check__orchestration-delegation,citation-check,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__artifact-generation,civ6-adjacency-optimizer,artifact-generation,differentiating,artifact-generation::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__analytic-pipeline,civ6-adjacency-optimizer,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,assigned_support;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__engineering-composition,civ6-adjacency-optimizer,engineering-composition,differentiating,engineering-composition::round1::differentiating,assigned_support;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__retrieval-heavy-synthesis,civ6-adjacency-optimizer,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__environment-control,civ6-adjacency-optimizer,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__methodology-guardrail,civ6-adjacency-optimizer,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
civ6-adjacency-optimizer__orchestration-delegation,civ6-adjacency-optimizer,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__artifact-generation,court-form-filling,artifact-generation,differentiating,artifact-generation::round1::differentiating,assigned_support;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__analytic-pipeline,court-form-filling,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__engineering-composition,court-form-filling,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__retrieval-heavy-synthesis,court-form-filling,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,assigned_support;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__environment-control,court-form-filling,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__methodology-guardrail,court-form-filling,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,assigned_support;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
court-form-filling__orchestration-delegation,court-form-filling,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__artifact-generation,dapt-intrusion-detection,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__analytic-pipeline,dapt-intrusion-detection,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__engineering-composition,dapt-intrusion-detection,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__retrieval-heavy-synthesis,dapt-intrusion-detection,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__environment-control,dapt-intrusion-detection,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__methodology-guardrail,dapt-intrusion-detection,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
dapt-intrusion-detection__orchestration-delegation,dapt-intrusion-detection,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__artifact-generation,data-to-d3,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__analytic-pipeline,data-to-d3,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__engineering-composition,data-to-d3,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__retrieval-heavy-synthesis,data-to-d3,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__environment-control,data-to-d3,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__methodology-guardrail,data-to-d3,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
data-to-d3__orchestration-delegation,data-to-d3,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__artifact-generation,earthquake-phase-association,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__analytic-pipeline,earthquake-phase-association,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__engineering-composition,earthquake-phase-association,engineering-composition,differentiating,engineering-composition::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__retrieval-heavy-synthesis,earthquake-phase-association,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__environment-control,earthquake-phase-association,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__methodology-guardrail,earthquake-phase-association,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-phase-association__orchestration-delegation,earthquake-phase-association,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__artifact-generation,earthquake-plate-calculation,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__analytic-pipeline,earthquake-plate-calculation,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__engineering-composition,earthquake-plate-calculation,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__retrieval-heavy-synthesis,earthquake-plate-calculation,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__environment-control,earthquake-plate-calculation,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__methodology-guardrail,earthquake-plate-calculation,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
earthquake-plate-calculation__orchestration-delegation,earthquake-plate-calculation,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__artifact-generation,econ-detrending-correlation,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__analytic-pipeline,econ-detrending-correlation,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__engineering-composition,econ-detrending-correlation,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__retrieval-heavy-synthesis,econ-detrending-correlation,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__environment-control,econ-detrending-correlation,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__methodology-guardrail,econ-detrending-correlation,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
econ-detrending-correlation__orchestration-delegation,econ-detrending-correlation,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__artifact-generation,energy-ac-optimal-power-flow,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__analytic-pipeline,energy-ac-optimal-power-flow,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__engineering-composition,energy-ac-optimal-power-flow,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__retrieval-heavy-synthesis,energy-ac-optimal-power-flow,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__environment-control,energy-ac-optimal-power-flow,environment-control,differentiating,environment-control::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__methodology-guardrail,energy-ac-optimal-power-flow,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-ac-optimal-power-flow__orchestration-delegation,energy-ac-optimal-power-flow,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__artifact-generation,energy-market-pricing,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__analytic-pipeline,energy-market-pricing,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__engineering-composition,energy-market-pricing,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__retrieval-heavy-synthesis,energy-market-pricing,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__environment-control,energy-market-pricing,environment-control,differentiating,environment-control::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__methodology-guardrail,energy-market-pricing,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
energy-market-pricing__orchestration-delegation,energy-market-pricing,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__artifact-generation,exceltable-in-ppt,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__analytic-pipeline,exceltable-in-ppt,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__engineering-composition,exceltable-in-ppt,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__retrieval-heavy-synthesis,exceltable-in-ppt,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__environment-control,exceltable-in-ppt,environment-control,differentiating,environment-control::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__methodology-guardrail,exceltable-in-ppt,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exceltable-in-ppt__orchestration-delegation,exceltable-in-ppt,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__artifact-generation,exoplanet-detection-period,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__analytic-pipeline,exoplanet-detection-period,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__engineering-composition,exoplanet-detection-period,engineering-composition,differentiating,engineering-composition::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__retrieval-heavy-synthesis,exoplanet-detection-period,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__environment-control,exoplanet-detection-period,environment-control,differentiating,environment-control::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__methodology-guardrail,exoplanet-detection-period,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
exoplanet-detection-period__orchestration-delegation,exoplanet-detection-period,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__artifact-generation,financial-modeling-qa,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__analytic-pipeline,financial-modeling-qa,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__engineering-composition,financial-modeling-qa,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__retrieval-heavy-synthesis,financial-modeling-qa,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__environment-control,financial-modeling-qa,environment-control,differentiating,environment-control::round1::differentiating,assigned_support,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__methodology-guardrail,financial-modeling-qa,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
financial-modeling-qa__orchestration-delegation,financial-modeling-qa,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__artifact-generation,find-topk-similiar-chemicals,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__analytic-pipeline,find-topk-similiar-chemicals,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__engineering-composition,find-topk-similiar-chemicals,engineering-composition,differentiating,engineering-composition::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__retrieval-heavy-synthesis,find-topk-similiar-chemicals,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__environment-control,find-topk-similiar-chemicals,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__methodology-guardrail,find-topk-similiar-chemicals,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
find-topk-similiar-chemicals__orchestration-delegation,find-topk-similiar-chemicals,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__artifact-generation,fix-build-agentops,artifact-generation,differentiating,artifact-generation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__analytic-pipeline,fix-build-agentops,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__engineering-composition,fix-build-agentops,engineering-composition,differentiating,engineering-composition::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__retrieval-heavy-synthesis,fix-build-agentops,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__environment-control,fix-build-agentops,environment-control,differentiating,environment-control::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__methodology-guardrail,fix-build-agentops,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-agentops__orchestration-delegation,fix-build-agentops,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__artifact-generation,fix-build-google-auto,artifact-generation,differentiating,artifact-generation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__analytic-pipeline,fix-build-google-auto,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__engineering-composition,fix-build-google-auto,engineering-composition,differentiating,engineering-composition::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__retrieval-heavy-synthesis,fix-build-google-auto,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__environment-control,fix-build-google-auto,environment-control,differentiating,environment-control::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__methodology-guardrail,fix-build-google-auto,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-build-google-auto__orchestration-delegation,fix-build-google-auto,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__artifact-generation,fix-druid-loophole-cve,artifact-generation,differentiating,artifact-generation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__analytic-pipeline,fix-druid-loophole-cve,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__engineering-composition,fix-druid-loophole-cve,engineering-composition,differentiating,engineering-composition::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__retrieval-heavy-synthesis,fix-druid-loophole-cve,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__environment-control,fix-druid-loophole-cve,environment-control,differentiating,environment-control::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__methodology-guardrail,fix-druid-loophole-cve,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
fix-druid-loophole-cve__orchestration-delegation,fix-druid-loophole-cve,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
