pair_id,task_name,schema_id,prev_score,cur_score,delta_score,prev_reported_score,cur_reported_score,delta_reported_score,prev_trajectory_signal,cur_trajectory_signal,delta_trajectory_signal,prev_growth_component,cur_growth_component,delta_growth_component,prev_improved_rounds,cur_improved_rounds,delta_improved_rounds,prev_trajectory_quality,cur_trajectory_quality,prev_reported_100,cur_reported_100,protected_100_to_0,score_positive_to_zero
energy-ac-optimal-power-flow__analytic-pipeline,energy-ac-optimal-power-flow,analytic-pipeline,0.0,72.5,72.5,100.0,100.0,0.0,0.0,70.0,70.0,50.0,100.0,50.0,0.0,2.0,2.0,baseline_only,stable_no_loss_gain,True,True,False,False
financial-modeling-qa__retrieval-heavy-synthesis,financial-modeling-qa,retrieval-heavy-synthesis,0.0,60.0,60.0,0.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,stable_non_decreasing_gain,False,True,False,False
energy-ac-optimal-power-flow__methodology-guardrail,energy-ac-optimal-power-flow,methodology-guardrail,0.0,60.0,60.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,1.0,1.0,baseline_only,stable_non_decreasing_gain,True,True,False,False
energy-ac-optimal-power-flow__retrieval-heavy-synthesis,energy-ac-optimal-power-flow,retrieval-heavy-synthesis,0.0,60.0,60.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,1.0,1.0,baseline_only,stable_non_decreasing_gain,True,True,False,False
court-form-filling__engineering-composition,court-form-filling,engineering-composition,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
data-to-d3__environment-control,data-to-d3,environment-control,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
data-to-d3__retrieval-heavy-synthesis,data-to-d3,retrieval-heavy-synthesis,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
earthquake-phase-association__methodology-guardrail,earthquake-phase-association,methodology-guardrail,0.0,51.25,51.25,100.0,100.0,0.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,baseline_only,partial_gain_then_regression,True,True,False,False
econ-detrending-correlation__retrieval-heavy-synthesis,econ-detrending-correlation,retrieval-heavy-synthesis,0.0,51.25,51.25,100.0,100.0,0.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,baseline_only,partial_gain_then_regression,True,True,False,False
civ6-adjacency-optimizer__orchestration-delegation,civ6-adjacency-optimizer,orchestration-delegation,0.0,39.9167,39.9167,60.0,60.0,0.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,2.0,2.0,regression_or_mixed,partial_gain_then_regression,False,False,False,False
data-to-d3__artifact-generation,data-to-d3,artifact-generation,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
earthquake-plate-calculation__methodology-guardrail,earthquake-plate-calculation,methodology-guardrail,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
energy-market-pricing__engineering-composition,energy-market-pricing,engineering-composition,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
financial-modeling-qa__artifact-generation,financial-modeling-qa,artifact-generation,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
find-topk-similiar-chemicals__environment-control,find-topk-similiar-chemicals,environment-control,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,stable_no_loss,partial_gain_then_regression,False,True,False,False
econ-detrending-correlation__artifact-generation,econ-detrending-correlation,artifact-generation,0.0,31.25,31.25,100.0,100.0,0.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,baseline_only,partial_gain_then_regression,True,True,False,False
econ-detrending-correlation__methodology-guardrail,econ-detrending-correlation,methodology-guardrail,0.0,31.25,31.25,100.0,100.0,0.0,0.0,45.0,45.0,50.0,100.0,50.0,0.0,1.0,1.0,baseline_only,partial_gain_then_regression,True,True,False,False
data-to-d3__methodology-guardrail,data-to-d3,methodology-guardrail,31.25,60.0,28.75,100.0,100.0,0.0,45.0,100.0,55.0,100.0,100.0,0.0,1.0,1.0,0.0,partial_gain_then_regression,stable_non_decreasing_gain,True,True,False,False
earthquake-plate-calculation__artifact-generation,earthquake-plate-calculation,artifact-generation,31.25,60.0,28.75,100.0,100.0,0.0,45.0,100.0,55.0,100.0,100.0,0.0,1.0,1.0,0.0,partial_gain_then_regression,stable_non_decreasing_gain,True,True,False,False
civ6-adjacency-optimizer__retrieval-heavy-synthesis,civ6-adjacency-optimizer,retrieval-heavy-synthesis,0.0,0.0,0.0,45.0,55.0,10.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,regression_or_mixed,regression_or_mixed,False,False,False,False
civ6-adjacency-optimizer__analytic-pipeline,civ6-adjacency-optimizer,analytic-pipeline,47.25,14.25,-33.0,55.0,70.0,15.0,100.0,25.0,-75.0,100.0,60.0,-40.0,1.0,1.0,0.0,stable_non_decreasing_gain,transient_gain,False,False,False,False
civ6-adjacency-optimizer__engineering-composition,civ6-adjacency-optimizer,engineering-composition,43.0,0.0,-43.0,40.0,60.0,20.0,100.0,0.0,-100.0,90.0,50.0,-40.0,1.0,0.0,-1.0,stable_non_decreasing_gain,regression_or_mixed,False,False,False,True
