pair_id,task_name,schema_id,prev_score,cur_score,delta_score,prev_reported_score,cur_reported_score,delta_reported_score,prev_trajectory_signal,cur_trajectory_signal,delta_trajectory_signal,prev_growth_component,cur_growth_component,delta_growth_component,prev_improved_rounds,cur_improved_rounds,delta_improved_rounds,prev_trajectory_quality,cur_trajectory_quality,prev_reported_100,cur_reported_100,protected_100_to_0,score_positive_to_zero
court-form-filling__orchestration-delegation,court-form-filling,orchestration-delegation,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
exoplanet-detection-period__retrieval-heavy-synthesis,exoplanet-detection-period,retrieval-heavy-synthesis,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
financial-modeling-qa__methodology-guardrail,financial-modeling-qa,methodology-guardrail,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
find-topk-similiar-chemicals__analytic-pipeline,find-topk-similiar-chemicals,analytic-pipeline,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
find-topk-similiar-chemicals__engineering-composition,find-topk-similiar-chemicals,engineering-composition,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
find-topk-similiar-chemicals__orchestration-delegation,find-topk-similiar-chemicals,orchestration-delegation,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
dapt-intrusion-detection__artifact-generation,dapt-intrusion-detection,artifact-generation,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
dapt-intrusion-detection__engineering-composition,dapt-intrusion-detection,engineering-composition,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
dapt-intrusion-detection__environment-control,dapt-intrusion-detection,environment-control,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
dapt-intrusion-detection__orchestration-delegation,dapt-intrusion-detection,orchestration-delegation,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
econ-detrending-correlation__analytic-pipeline,econ-detrending-correlation,analytic-pipeline,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
energy-ac-optimal-power-flow__artifact-generation,energy-ac-optimal-power-flow,artifact-generation,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
energy-ac-optimal-power-flow__orchestration-delegation,energy-ac-optimal-power-flow,orchestration-delegation,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
energy-market-pricing__methodology-guardrail,energy-market-pricing,methodology-guardrail,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
exceltable-in-ppt__engineering-composition,exceltable-in-ppt,engineering-composition,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
exceltable-in-ppt__retrieval-heavy-synthesis,exceltable-in-ppt,retrieval-heavy-synthesis,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,baseline_only,stable_no_loss,True,False,True,False
earthquake-phase-association__engineering-composition,earthquake-phase-association,engineering-composition,100.0,0.0,-100.0,100.0,100.0,0.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,baseline_only,True,True,False,True
earthquake-phase-association__orchestration-delegation,earthquake-phase-association,orchestration-delegation,100.0,0.0,-100.0,100.0,100.0,0.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,baseline_only,True,True,False,True
civ6-adjacency-optimizer__artifact-generation,civ6-adjacency-optimizer,artifact-generation,68.4167,0.0,-68.4167,60.0,60.0,0.0,70.0,0.0,-70.0,100.0,50.0,-50.0,3.0,0.0,-3.0,stable_no_loss_gain,regression_or_mixed,False,False,False,True
civ6-adjacency-optimizer__environment-control,civ6-adjacency-optimizer,environment-control,14.25,0.0,-14.25,60.0,60.0,0.0,25.0,0.0,-25.0,60.0,50.0,-10.0,1.0,0.0,-1.0,transient_gain,regression_or_mixed,False,False,False,True
civ6-adjacency-optimizer__methodology-guardrail,civ6-adjacency-optimizer,methodology-guardrail,13.5833,0.0,-13.5833,60.0,60.0,0.0,25.0,0.0,-25.0,55.0,50.0,-5.0,1.0,0.0,-1.0,transient_gain,regression_or_mixed,False,False,False,True
civ6-adjacency-optimizer__engineering-composition,civ6-adjacency-optimizer,engineering-composition,43.0,0.0,-43.0,40.0,60.0,20.0,100.0,0.0,-100.0,90.0,50.0,-40.0,1.0,0.0,-1.0,stable_non_decreasing_gain,regression_or_mixed,False,False,False,True
